case_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
EZYV00128,Asia,Bachelor's,Y,N,47657,1982,Northeast,65015.0555,Year,Y,Certified
EZYV00129,Asia,Master's,Y,N,6945,1977,Northeast,244897.7011,Year,Y,Certified
EZYV00130,Europe,Doctorate,Y,N,19521,2000,South,134373.4531,Year,Y,Certified
EZYV00131,Asia,Bachelor's,Y,Y,12301,2017,West,140606.7426,Year,Y,Certified
EZYV00132,Africa,Doctorate,N,N,26171,2004,Northeast,2146.9638,Year,Y,Certified
EZYV00133,Europe,High School,N,N,33725,1981,West,45623.8273,Year,Y,Denied
EZYV00134,Asia,High School,Y,N,10112,1985,South,89284.1661,Year,Y,Certified
EZYV00135,Europe,Master's,Y,Y,40024,1966,West,241501.9895,Year,Y,Certified
EZYV00136,Asia,Master's,Y,N,57870,1968,West,43975.3852,Year,Y,Certified
EZYV00137,Africa,Master's,N,N,2611,1976,Northeast,75961.7699,Year,Y,Certified
EZYV00138,Asia,High School,Y,N,5178,1983,Northeast,247541.217,Hour,Y,Certified
EZYV00139,North America,Master's,Y,N,57133,2019,West,120380.9389,Year,Y,Certified
EZYV00140,Asia,Bachelor's,Y,N,38946,2012,South,79738.2623,Hour,Y,Certified
EZYV00141,Asia,Bachelor's,Y,N,55179,1966,West,158662.8583,Year,Y,Certified
EZYV00142,Asia,Bachelor's,Y,N,42319,1979,Midwest,124176.3107,Hour,N,Certified
EZYV00143,Africa,Doctorate,Y,N,43043,1963,Northeast,239370.7831,Hour,Y,Certified
EZYV00144,Europe,High School,N,N,9476,1963,South,20982.123,Year,Y,Denied
EZYV00145,Asia,Master's,N,Y,30717,1982,South,197678.8705,Year,Y,Denied
EZYV00146,Asia,Master's,N,N,21928,2017,Northeast,69915.7773,Year,Y,Certified
EZYV00147,Asia,Master's,N,N,50020,1971,Midwest,201705.9989,Year,Y,Certified
EZYV00148,Asia,Master's,Y,N,2601,2000,Midwest,211960.5411,Year,Y,Certified
EZYV00149,Asia,Master's,N,N,1104,1983,South,212335.8699,Year,Y,Denied
EZYV00150,Asia,Bachelor's,N,Y,33403,1992,Midwest,216700.5856,Year,Y,Certified
EZYV00151,South America,High School,N,N,58227,2012,Northeast,179588.2512,Year,Y,Denied
EZYV00152,South America,Master's,N,N,59696,2009,Island,35772.5558,Hour,Y,Certified
EZYV00153,Asia,Bachelor's,Y,N,35618,2009,Midwest,13165.2679,Year,N,Certified
EZYV00154,Europe,Bachelor's,Y,N,25801,1984,Northeast,85323.1579,Year,Y,Certified
EZYV00155,Asia,Bachelor's,Y,N,16386,1962,West,123868.4507,Year,Y,Certified
EZYV00156,Europe,Bachelor's,Y,N,59400,2019,West,75794.701,Year,Y,Certified
EZYV00157,Asia,High School,Y,N,11006,2019,South,185603.2921,Year,Y,Certified
EZYV00158,Europe,High School,Y,Y,7586,2011,South,180666.3807,Hour,Y,Denied
EZYV00159,North America,Doctorate,Y,N,30507,1988,West,242986.7404,Month,Y,Certified
EZYV00160,North America,Bachelor's,N,N,23556,1976,Northeast,100263.158,Year,Y,Certified
EZYV00161,Asia,Doctorate,N,N,29755,1970,Northeast,196474.7697,Year,Y,Certified
EZYV00162,Africa,Doctorate,Y,N,54119,1982,Northeast,185351.7527,Year,Y,Certified
EZYV00163,Asia,Bachelor's,Y,N,16199,1980,West,247189.6294,Year,Y,Certified
EZYV00164,Asia,Master's,Y,N,52603,1976,South,193449.0898,Year,Y,Certified
EZYV00165,Europe,Master's,N,N,12717,2017,South,71036.9178,Year,Y,Certified
EZYV00166,Asia,Master's,N,N,19425,1999,Northeast,4015.0453,Year,Y,Certified
EZYV00167,South America,High School,N,N,282,1973,Northeast,242047.9054,Year,N,Denied
EZYV00168,North America,Bachelor's,Y,N,40721,1998,West,179074.0472,Year,Y,Certified
EZYV00169,Asia,High School,Y,N,51509,2002,Northeast,203189.1357,Year,Y,Certified
EZYV00170,Africa,Master's,N,N,53171,1991,West,198352.3898,Year,Y,Certified
EZYV00171,Asia,Doctorate,N,N,10060,2016,South,183993.1203,Year,Y,Certified
EZYV00172,Asia,Master's,Y,N,46016,2017,West,187918.3223,Year,Y,Certified
EZYV00173,Asia,Master's,Y,Y,8493,1985,South,232378.6546,Year,Y,Certified
EZYV00174,Africa,Doctorate,Y,N,37714,1988,Midwest,228544.9982,Year,Y,Certified
EZYV00175,Asia,Master's,Y,N,42148,1973,Northeast,94930.8411,Year,Y,Certified
EZYV00176,Asia,High School,N,N,9167,2007,Midwest,7934.1886,Hour,Y,Denied
EZYV00177,Asia,Master's,N,N,6644,2015,Northeast,9862.6621,Year,Y,Certified
EZYV00178,Oceania,Bachelor's,Y,N,4394,1999,Northeast,111770.2635,Year,Y,Denied
EZYV00179,South America,High School,Y,N,42506,1972,West,208777.8866,Year,N,Certified
EZYV00180,North America,Master's,Y,Y,36883,1991,Northeast,211933.2844,Year,Y,Certified
EZYV00181,South America,Doctorate,Y,N,7174,2007,South,101216.5174,Year,N,Certified
EZYV00182,South America,Bachelor's,Y,Y,30024,1962,West,75542.584,Year,Y,Certified
EZYV00183,Asia,Bachelor's,N,N,47751,1995,West,126749.0408,Year,Y,Denied
EZYV00184,Asia,Bachelor's,N,N,14293,1999,West,208169.2931,Year,Y,Denied
EZYV00185,North America,High School,Y,N,36344,1992,Midwest,159196.7307,Year,Y,Certified
EZYV00186,Europe,High School,N,N,17576,1998,South,35123.4923,Year,Y,Certified
EZYV00187,Asia,Master's,N,N,15671,2013,Northeast,90686.0391,Year,N,Certified
EZYV00188,Asia,Master's,Y,N,23534,1967,Midwest,138945.3936,Year,Y,Certified
EZYV00189,North America,Bachelor's,N,N,21142,1994,Northeast,134657.9553,Year,N,Denied
EZYV00190,Asia,Bachelor's,N,N,29738,2007,Northeast,207692.3782,Year,Y,Certified
EZYV00191,Africa,Bachelor's,N,N,12336,2009,Northeast,233056.5066,Hour,Y,Denied
EZYV00192,Asia,High School,Y,N,23424,1988,South,25295.6809,Year,Y,Denied
EZYV00193,Asia,Master's,Y,N,37348,2019,South,56257.0161,Year,Y,Certified
EZYV00194,South America,Master's,Y,N,23246,1979,South,98160.7963,Year,N,Certified
EZYV00195,Asia,Master's,Y,N,39389,1986,West,74240.2407,Year,Y,Certified
EZYV00196,Asia,Bachelor's,Y,N,6957,2009,West,102190.9656,Year,Y,Denied
EZYV00197,Europe,Master's,N,N,8272,1986,Midwest,10372.1629,Year,Y,Certified
EZYV00198,South America,High School,Y,N,51937,1980,Northeast,16690.1149,Year,Y,Denied
EZYV00199,Asia,Bachelor's,Y,N,27717,1993,Northeast,209622.6972,Year,Y,Certified
EZYV00200,Asia,Doctorate,N,N,36555,1997,West,25824.9297,Year,Y,Certified
EZYV00201,North America,Master's,Y,N,44391,2018,Northeast,206053.963,Year,N,Certified
EZYV00202,Oceania,Doctorate,Y,N,8778,1997,South,76766.6981,Year,Y,Certified
EZYV00203,Asia,Doctorate,Y,N,58336,1971,West,77443.9978,Year,Y,Certified
EZYV00204,Asia,Master's,Y,N,25441,1963,West,25366.6076,Year,Y,Certified
EZYV00205,Asia,Doctorate,Y,Y,53384,2018,Northeast,3513.1927,Hour,Y,Certified
EZYV00206,Asia,Bachelor's,N,N,25011,1985,West,88951.0944,Year,N,Certified
EZYV00207,Asia,High School,Y,N,24343,1972,West,208872.1552,Year,Y,Denied
EZYV00208,Europe,High School,Y,N,36043,1973,Midwest,230004.875,Year,Y,Denied
EZYV00209,Asia,Bachelor's,Y,N,11465,1966,South,15584.0719,Year,Y,Denied
EZYV00210,Asia,High School,N,N,36538,1971,West,7920.8343,Year,Y,Denied
EZYV00211,Europe,Bachelor's,Y,N,58998,2006,West,39868.3949,Year,Y,Certified
EZYV00212,Europe,Master's,N,N,38718,1999,Northeast,191619.1942,Year,Y,Certified
EZYV00213,Asia,Master's,Y,N,4217,1995,West,51379.715,Year,Y,Certified
EZYV00214,North America,Master's,N,Y,41878,1960,West,57856.4315,Year,Y,Certified
EZYV00215,North America,Bachelor's,Y,Y,2018,2000,Northeast,222257.8859,Year,Y,Denied
EZYV00216,North America,Master's,Y,N,6214,2018,South,218762.2699,Year,Y,Certified
EZYV00217,Asia,Bachelor's,Y,N,17085,2015,South,167638.247,Year,Y,Certified
EZYV00218,Asia,High School,N,N,18305,1983,West,41170.6424,Year,Y,Certified
EZYV00219,Africa,Bachelor's,Y,N,227,1996,Northeast,95411.0676,Year,Y,Certified
EZYV00220,Asia,Bachelor's,Y,N,1055,1977,South,59197.1161,Year,Y,Certified
EZYV00221,Asia,Bachelor's,Y,N,47357,2013,Northeast,168027.0263,Year,Y,Certified
EZYV00222,Asia,Master's,Y,N,27286,2015,West,195026.7773,Year,Y,Certified
EZYV00223,Europe,Master's,Y,N,12001,1973,West,35705.0038,Year,Y,Certified
EZYV00224,Africa,Master's,Y,N,25774,1989,South,224509.3671,Hour,Y,Certified
EZYV00225,Asia,Bachelor's,Y,Y,41580,1974,South,115813.9116,Year,Y,Certified
EZYV00226,Africa,Master's,Y,N,44063,1996,South,198792.4625,Year,Y,Certified
EZYV00227,Asia,Master's,Y,N,17299,1977,South,13099.0746,Year,Y,Certified
EZYV00228,Europe,Bachelor's,Y,N,10039,2001,West,90273.1805,Year,Y,Certified
EZYV00229,Europe,Master's,Y,N,57561,2018,Northeast,3892.2807,Year,Y,Certified
EZYV00230,Asia,Bachelor's,Y,N,37895,2012,West,179677.4859,Year,Y,Certified
EZYV00231,Asia,Bachelor's,N,Y,58977,1970,West,20046.8524,Year,Y,Certified
EZYV00232,Asia,Bachelor's,Y,N,18412,1967,Midwest,84703.7906,Year,Y,Certified
EZYV00233,Africa,Master's,N,N,6689,2008,Northeast,195480.8204,Year,Y,Certified
EZYV00234,Europe,High School,Y,N,22924,1964,South,187291.8263,Year,Y,Denied
EZYV00235,Africa,Bachelor's,Y,Y,19681,1984,Northeast,160144.3472,Year,Y,Certified
EZYV00236,North America,Bachelor's,Y,N,43161,2019,Midwest,173566.3556,Year,Y,Certified
EZYV00237,Asia,Doctorate,Y,N,42971,1986,West,162877.585,Year,Y,Certified
EZYV00238,North America,Bachelor's,N,N,4306,1960,West,160390.7346,Year,N,Certified
EZYV00239,Asia,Bachelor's,N,N,35270,2018,West,87543.7291,Year,Y,Certified
EZYV00240,Asia,Bachelor's,Y,N,20576,2002,South,7235.7929,Hour,Y,Certified
EZYV00241,South America,Doctorate,N,N,36898,1979,West,110568.0973,Year,Y,Certified
EZYV00242,North America,Master's,Y,N,23488,1996,West,11555.821,Year,Y,Certified
EZYV00243,Asia,Doctorate,Y,Y,32252,1996,Northeast,117323.0753,Year,Y,Certified
EZYV00244,Asia,Bachelor's,N,N,42949,1993,Midwest,116126.9284,Year,Y,Certified
EZYV00245,Europe,Bachelor's,Y,N,17613,2017,Midwest,44844.64,Year,Y,Certified
EZYV00246,South America,Master's,Y,N,11965,2007,Midwest,196108.5553,Year,Y,Certified
EZYV00247,Europe,Bachelor's,N,N,42364,1975,West,176111.4936,Hour,Y,Denied
EZYV00248,Asia,Master's,N,N,56845,2019,South,139972.9773,Year,Y,Certified
EZYV00249,Asia,Master's,N,N,26648,2017,West,231491.9633,Year,Y,Certified
EZYV00250,Asia,Bachelor's,Y,N,59865,1962,Northeast,71939.3409,Year,Y,Certified
EZYV00251,Europe,Doctorate,N,N,11105,1977,West,65655.6489,Year,Y,Certified
EZYV00252,South America,Master's,Y,N,49137,1996,Northeast,46022.2667,Year,Y,Certified
EZYV00253,Asia,Bachelor's,Y,N,59292,2012,Midwest,136201.059,Year,Y,Certified
EZYV00254,Asia,Bachelor's,Y,N,17993,2003,Northeast,51498.2242,Year,Y,Certified
EZYV00255,Asia,High School,N,N,8884,1994,Northeast,217250.1155,Year,Y,Denied
EZYV00256,North America,Master's,N,N,39837,1978,Northeast,76216.5807,Year,Y,Certified
EZYV00257,North America,Bachelor's,N,N,52165,1965,West,122834.5664,Year,Y,Certified
EZYV00258,Asia,Bachelor's,Y,N,5002,2013,Northeast,132471.7891,Week,Y,Denied
EZYV00259,Asia,Master's,Y,N,38448,1991,Northeast,77050.1075,Year,Y,Certified
EZYV00260,Europe,High School,Y,N,52278,1987,Northeast,184657.2213,Year,Y,Certified
EZYV00261,Asia,High School,N,N,1935,2018,South,173079.8195,Year,Y,Certified
EZYV00262,South America,Master's,Y,Y,30966,1969,Midwest,190250.5948,Year,Y,Certified
EZYV00263,Asia,High School,Y,N,4632,1975,South,151558.9334,Year,Y,Denied
EZYV00264,Asia,Bachelor's,N,N,10598,2011,Northeast,115153.5366,Year,Y,Denied
EZYV00265,Africa,Bachelor's,Y,N,29188,1977,Northeast,112339.4907,Year,N,Certified
EZYV00266,Asia,Bachelor's,N,N,19655,2016,Northeast,179190.3335,Year,Y,Denied
EZYV00267,Asia,Bachelor's,Y,N,5121,2011,South,94383.4032,Year,Y,Certified
EZYV00268,Asia,Master's,N,N,48047,1965,Northeast,109427.4933,Year,Y,Certified
EZYV00269,Asia,Doctorate,Y,N,12189,1987,Northeast,41085.0456,Hour,Y,Certified
EZYV00270,Asia,Bachelor's,Y,N,52215,2005,Northeast,169971.688,Year,Y,Certified
EZYV00271,Asia,Doctorate,Y,Y,10616,1989,South,19415.8024,Year,N,Certified
EZYV00272,Asia,Master's,Y,N,31190,1972,West,247629.9378,Hour,Y,Certified
EZYV00273,Asia,Master's,N,N,43626,1962,Northeast,36105.6468,Year,Y,Certified
EZYV00274,Europe,Master's,Y,N,28826,1960,West,95868.0034,Year,Y,Certified
EZYV00275,Europe,Master's,Y,N,25034,1970,West,59597.6021,Year,Y,Certified
EZYV00276,Asia,Master's,N,Y,45047,1975,Midwest,72806.3999,Year,Y,Certified
EZYV00277,Asia,Bachelor's,Y,N,721,1978,Northeast,80748.8217,Year,N,Certified
EZYV00278,Asia,Master's,N,Y,49573,2011,West,179640.4924,Year,Y,Certified
EZYV00279,South America,Bachelor's,N,N,41398,1990,Midwest,44351.9684,Year,N,Certified
EZYV00280,South America,Bachelor's,Y,N,45894,1968,Midwest,66111.3642,Year,Y,Certified
EZYV00281,Asia,Master's,N,N,25266,1964,West,25481.2813,Year,Y,Certified
EZYV00282,Asia,High School,Y,N,23074,1967,Northeast,82998.7077,Year,Y,Denied
EZYV00283,Asia,Bachelor's,Y,N,34321,1978,Midwest,235322.1875,Hour,Y,Certified
EZYV00284,Asia,High School,Y,N,38520,2004,Midwest,95151.2239,Year,Y,Certified
EZYV00285,Europe,Bachelor's,N,N,55512,1962,Northeast,194379.1084,Year,Y,Certified
EZYV00286,Asia,Master's,Y,Y,51443,1984,Northeast,115533.6437,Year,Y,Certified
EZYV00287,Asia,Master's,Y,N,3247,1986,Midwest,112510.0011,Year,Y,Certified
EZYV00288,Asia,Bachelor's,N,N,9118,1968,Northeast,206027.9418,Year,Y,Certified
EZYV00289,Asia,High School,Y,N,56797,1963,West,6899.4995,Year,N,Denied
EZYV00290,Asia,Bachelor's,N,Y,23297,1973,South,216248.6475,Year,Y,Certified
EZYV00291,South America,Bachelor's,N,N,34823,1969,West,121405.0712,Year,Y,Certified
EZYV00292,Asia,Master's,N,N,3411,2007,Northeast,87911.5709,Year,Y,Denied
EZYV00293,Africa,Master's,N,N,6291,2015,West,226727.3707,Year,Y,Certified
EZYV00294,Asia,Bachelor's,N,Y,24541,1997,South,85096.8661,Year,Y,Denied
EZYV00295,South America,Bachelor's,Y,N,43043,2005,Midwest,244428.7993,Year,Y,Certified
EZYV00296,Africa,Doctorate,N,N,46340,2005,Northeast,234101.8535,Year,Y,Certified
EZYV00297,Oceania,Master's,N,Y,53682,2012,Northeast,67127.2184,Year,Y,Certified
EZYV00298,North America,Bachelor's,N,N,11833,1965,Northeast,85282.5594,Year,Y,Certified
EZYV00299,North America,Bachelor's,Y,N,12122,2019,Northeast,203079.453,Year,Y,Certified
